OID,Year,Date,ID,UTMEast,UTMNorth,Sex,Weight,SVL,TailLength,TotalLength,TailStatus,ReproStatus,#FolliclesOrEggs
15088,2020,2020-01-09,2019-12-10.02,,,Male,6248,207.5,30.6,238.1,Intact,Turgid,
15089,2020,2020-01-09,2020-01-09.01,,,Male,2936,170.6,24.8,195.4,Intact,,
15090,2020,2020-01-10,30Jun19.01,,,Male,3900,,,,,,
15092,2020,2020-01-11,2020-01-11.01,518242,2805557,Male,,,,,,,
15094,2020,2020-01-12,2020-01-12.01,509935,2849249,Male,,,,,,,
15096,2020,2020-01-13,2020-01-11.01,,,Male,3300,,,,,,
15098,2020,2020-01-13,2020-01-13.01,532771,2847719,Male,,,,,,,
15100,2020,2020-01-13,2020-01-13.02,532999,2841246,Female,,,,,,,
15101,2020,2020-01-14,2020-01-12.01,,,Male,5612,,,,,,
15103,2020,2020-01-15,2020-01-15.01,507758,2780986,Female,,,,,,,
15104,2019,2019-11-12,07Nov19.04,,,Male,690,98.0,14.5,112.5,Intact,,
15105,2019,2019-12-10,2019-12-10.03,,,Female,4918,183.9,27.6,211.5,Intact,Undeveloped,
15106,2019,2019-12-17,2019-12-16.01,,,Male,956,108.7,16.0,124.7,Intact,,
15107,2019,2019-12-19,2019-12-17.02,,,Female,14642,269.5,36.4,305.9,Intact,Secondary,44
15108,2020,2020-01-07,2019-12-24.01,,,Female,58500,366.2,54.5,420.7,Intact,Secondary,82
15109,2020,2020-01-16,2020-01-01.01,,,Male,6400,,,,,,
15110,2020,2020-01-16,2020-01-04.01,,,Male,7800,,,,,,
15111,2020,2020-01-16,2020-01-08.01,,,Male,4880,198.0,30.0,228.0,Intact,,
15112,2020,2020-01-16,2020-01-13.01,,,Male,9300,,,,,,
15113,2020,2020-01-16,2020-01-15.01,,,Female,8400,,,,,,
15115,2020,2020-01-16,2020-01-16.01,477015,2862124,Male,,,,,,,
15116,2019,2019-12-17,2019-12-12.02,,,,346,75.2,9.9,85.1,Intact,,
15118,2020,2020-01-07,2020-01-07.01,,,Male,998,113.5,16.4,129.9,Intact,,
15119,2020,2020-01-09,2020-01-09.02,,,Female,12544,267.2,37.0,304.2,Intact,Primary,
15121,2019,2019-12-17,2019-12-12.02,,,,346,75.2,,,,,
15123,2020,2020-01-18,2020-01-18.01,532763,2847919,Male,,,,,,,
15126,2020,2020-01-19,2020-01-19.01,507321,2849008,Male,,,,,,,
15128,2020,2020-01-17,2020-01-03.01,,,Male,7806,209.3,32.9,242.2,Intact,Turgid,
15130,2020,2020-01-17,2020-01-11.01,,,Male,3182,165.9,26.5,192.4,Intact,,
15132,2020,2020-01-22,2020-01-18.01,,,Male,7000,,,,,,
15134,2020,2020-01-22,2020-01-22.01,499453,2859001,Female,28000,341.0,,,,,
15136,2020,2020-01-23,2020-01-23.01,538738,2809735,Male,15200,,,,,,
15137,2020,2020-01-22,2020-01-08.02,,,Female,45500,351.2,51.1,402.3,Intact,Secondary,74
15138,2020,2020-01-28,2020-01-12.01,,,Male,5442,,,,,,
15139,2020,2020-01-20,2020-01-19.01,,,Male,9100,230.6,23.7,254.3,Broken,Turgid,
15141,2020,2020-01-28,2020-01-27.01,498948,2859784,Female,58000,411.0,,,,,
15142,2020,2020-01-28,2020-01-12.01,,,Male,5496,201.0,29.4,230.4,Intact,Semi-turgid,
15145,2020,2020-01-30,2020-01-01.01,,,Male,6950,,,,,,
15147,2020,2020-01-30,2020-01-01.01,,,Male,6932,213.6,35.4,249.0,Intact,Semi-turgid,
15149,2020,2020-01-30,2020-01-13.01,,,Male,9390,240.5,35.6,276.1,Intact,Semi-turgid,
15152,2020,2020-01-31,2020-01-20.01,482545,2861438,Male,,,,,,,
15153,2020,2020-01-22,2020-01-22.01,,,Female,28300,308.9,40.7,349.6,Intact,Secondary,52
15155,2020,2020-01-31,2020-01-31.01,542677,2828270,Male,,,,,,,
15157,2020,2020-01-31,2020-01-31.02,517578,2849182,Female,,,,,,,
15159,2020,2020-01-31,2020-01-31.03,509953,2849252,Male,,,,,,,
15161,2020,2020-01-31,2020-01-31.04,509953,2849252,Male,,,,,,,
15163,2020,2020-01-31,2020-01-31.05,485834,2861046,Male,,,,,,,
15165,2020,2020-01-31,2020-01-31.06,542664,2832472,Female,,,,,,,
15166,2020,2020-02-03,11Sep19.13,,,Male,4300,,,,,,
15167,2020,2020-02-03,11Sep19.14,,,Male,3750,,,,,,
15168,2020,2020-02-03,18Sep19.10,,,Male,7300,,,,,,
15169,2020,2020-01-31,2020-01-04.01,,,Male,8312,203.8,35.0,238.8,Intact,Turgid,
15170,2020,2020-01-31,2020-01-15.01,,,Female,8370,198.4,28.9,227.3,Intact,Secondary,15
15171,2020,2020-02-03,2020-01-31.01,,,Male,4500,,,,,,
15172,2020,2020-02-03,2020-01-31.06,,,Female,1900,,,,,,
15174,2020,2020-02-03,2020-02-03.01,570032,2795345,Male,,,,,,,
15176,2020,2020-02-03,2020-02-03.02,541757,2833042,Male,21794,296.5,38.0,334.5,Intact,,
15177,2020,2020-02-03,20Aug19.02,,,Male,6300,,,,,,
15178,2020,2020-02-04,07Sep19.01,,,Male,6200,,,,,,
15180,2020,2020-02-04,18Aug19.02,,,Male,4700,,,,,,
15184,2020,2020-02-04,2020-02-04.01,505507,2847923,Female,39500,,,,,,
15186,2020,2020-02-04,24Jul19.14,,,Male,4950,,,,,,
15188,2020,2020-02-05,12Aug19.01,,,Male,3700,,,,,,
15191,2020,2020-02-05,2020-02-03.01,,,Male,4592,174.9,28.5,203.4,Intact,Flaccid,
15192,2020,2020-02-05,24Jul19.13,,,Male,4000,,,,,,
15194,2020,2020-02-05,30Jun19.01,,,Male,6000,,,,,,
15203,2020,2020-02-07,28Feb19.01,515819,2843546,Male,5500,,,,,,
15205,2020,2020-02-06,19Nov18.02,,,Male,4700,178.7,29.5,208.2,Intact,Flaccid,
